Sample_ID	dry.weight.cob	dry.weight.plant	dry.weight.shoot	fresh.weight.cob	fresh.weight.shoot	stem.length	total.leaf.number
329H_RT	5.66	66.44	60.78	43.13	250.3	152	11
330H_RT	1.12	20.14	19.02	10.46	82.27	107	10
331H_RT	115.7	288.99	173.29	418.37	631.6	173	11
332H_RT	47.62	122.42	74.8	184.22	265.35	146	9
333H_RT	37.55	179.35	141.8	166.51	515	168	9
334H_RT	16.78	94.63	77.85	110.14	293.2	160	10
335H_RT	108.94	284.35	175.41	408.4	613.5	173	11
336H_RT	56.44	185.41	128.97	249.96	515.85	144	10
337H_RT	86.15	146.31	60.16	214.3	269.9	118	7
338H_RT	108.51	187.43	78.92	252.13	332.5	138	7
339H_RT	73.64	141.85	68.21	191.89	318.35	132	6
340H_RT	78.72	129.58	50.86	184.9	208.8	110	7
341H_RT	58.72	135.95	77.23	142.07	296.2	130	7
342H_RT	27.52	55.96	28.44	98.86	117.6	135	8
343H_RT	101.73	188.09	86.36	360.79	235.6	130	10
344H_RT	86.64	173.44	86.8	361.54	304.8	140	10
